board,level,variant,text,data,bss,Flash,RAM,Cost Flash,Cost RAM
F072,O0,None,15308,104,4168,15412,4272,0,0
F072,O0,AES,41596,112,6168,41708,6280,26296,2008
F072,O0,ASCON,28144,104,6184,28248,6288,12836,2016
F072,O1,None,12000,104,4168,12104,4272,0,0
F072,O1,AES,29388,112,6168,29500,6280,17396,2008
F072,O1,ASCON,39924,104,6184,40028,6288,27924,2016
F072,O2,None,11652,104,4168,11756,4272,0,0
F072,O2,AES,29120,112,6168,29232,6280,17476,2008
F072,O2,ASCON,39156,104,6184,39260,6288,27504,2016
F072,O3,None,12372,104,4168,12476,4272,0,0
F072,O3,AES,36572,112,6168,36684,6280,24208,2008
F072,O3,ASCON,55396,104,6184,55500,6288,43024,2016
F072,Os,None,10948,104,4168,11052,4272,0,0
F072,Os,AES,27440,112,6168,27552,6280,16500,2008
F072,Os,ASCON,15324,104,6184,15428,6288,4376,2016
L476,O0,None,19856,104,4176,19960,4280,0,0
L476,O0,AES,43104,112,24176,43216,24288,23256,20008
L476,O0,ASCON,26632,104,24192,26736,24296,6776,20016
L476,O1,None,15392,104,4176,15496,4280,0,0
L476,O1,AES,31880,112,24176,31992,24288,16496,20008
L476,O1,ASCON,39600,104,24192,39704,24296,24208,20016
L476,O2,None,14648,104,4176,14752,4280,0,0
L476,O2,AES,31224,112,24184,31336,24296,16584,20016
L476,O2,ASCON,37912,104,24200,38016,24304,23264,20024
L476,O3,None,15240,104,4184,15344,4288,0,0
L476,O3,AES,32952,112,24184,33064,24296,17720,20008
L476,O3,ASCON,49800,104,24200,49904,24304,34560,20016
L476,Os,None,13808,104,4176,13912,4280,0,0
L476,Os,AES,29576,112,24176,29688,24288,15776,20008
L476,Os,ASCON,18016,104,24192,18120,24296,4208,20016
