board,algo,level,input_size,median,mean,min,max,q1,q3,n,iqr,cycles_per_byte_median
F072,aes,O0,1,84523.0,84523.0,84523,84523,84523.0,84523.0,100,0.0,84523.0
F072,aes,O0,10,85198.0,85198.0,85198,85198,85198.0,85198.0,100,0.0,8519.8
F072,aes,O0,100,334077.0,334077.0,334077,334077,334077.0,334077.0,100,0.0,3340.77
F072,aes,O0,1000,2661457.0,2661457.0,2661457,2661457,2661457.0,2661457.0,100,0.0,2661.457
F072,aes,O1,1,25880.0,25880.0,25880,25880,25880.0,25880.0,100,0.0,25880.0
F072,aes,O1,10,26159.0,26159.0,26159,26159,26159.0,26159.0,100,0.0,2615.9
F072,aes,O1,100,100179.0,100179.0,100179,100179,100179.0,100179.0,100,0.0,1001.79
F072,aes,O1,1000,792911.0,792911.0,792911,792911,792911.0,792911.0,100,0.0,792.911
F072,aes,O2,1,25185.0,25185.0,25185,25185,25185.0,25185.0,100,0.0,25185.0
F072,aes,O2,10,25464.0,25464.0,25464,25464,25464.0,25464.0,100,0.0,2546.4
F072,aes,O2,100,97404.0,97404.0,97404,97404,97404.0,97404.0,100,0.0,974.04
F072,aes,O2,1000,770536.0,770536.0,770536,770536,770536.0,770536.0,100,0.0,770.536
F072,aes,O3,1,16592.0,16592.0,16592,16592,16592.0,16592.0,100,0.0,16592.0
F072,aes,O3,10,16721.0,16721.0,16721,16721,16721.0,16721.0,100,0.0,1672.1
F072,aes,O3,100,62031.0,62031.0,62031,62031,62031.0,62031.0,100,0.0,620.31
F072,aes,O3,1000,485227.0,485227.0,485227,485227,485227.0,485227.0,100,0.0,485.227
F072,aes,Os,1,25693.0,25693.0,25693,25693,25693.0,25693.0,100,0.0,25693.0
F072,aes,Os,10,25990.0,25990.0,25990,25990,25990.0,25990.0,100,0.0,2599.0
F072,aes,Os,100,99472.0,99472.0,99472,99472,99472.0,99472.0,100,0.0,994.72
F072,aes,Os,1000,787284.0,787284.0,787284,787284,787284.0,787284.0,100,0.0,787.284
F072,ascon,O0,1,61965.0,61965.0,61965,61965,61965.0,61965.0,100,0.0,61965.0
F072,ascon,O0,10,63087.0,63087.0,63087,63087,63087.0,63087.0,100,0.0,6308.7
F072,ascon,O0,100,190444.0,190444.0,190444,190444,190444.0,190444.0,100,0.0,1904.44
F072,ascon,O0,1000,1387063.0,1387063.0,1387063,1387063,1387063.0,1387063.0,100,0.0,1387.063
F072,ascon,O1,1,7474.0,7474.0,7474,7474,7474.0,7474.0,100,0.0,7474.0
F072,ascon,O1,10,7882.0,7882.0,7882,7882,7882.0,7882.0,100,0.0,788.2
F072,ascon,O1,100,23423.0,23423.0,23423,23423,23423.0,23423.0,100,0.0,234.23
F072,ascon,O1,1000,170741.0,170741.0,170741,170741,170741.0,170741.0,100,0.0,170.741
F072,ascon,O2,1,7410.0,7410.0,7410,7410,7410.0,7410.0,100,0.0,7410.0
F072,ascon,O2,10,7800.0,7800.0,7800,7800,7800.0,7800.0,100,0.0,780.0
F072,ascon,O2,100,23174.0,23174.0,23174,23174,23174.0,23174.0,100,0.0,231.74
F072,ascon,O2,1000,168921.0,168921.0,168921,168921,168921.0,168921.0,100,0.0,168.921
F072,ascon,O3,1,6093.0,6093.0,6093,6093,6093.0,6093.0,100,0.0,6093.0
F072,ascon,O3,10,6169.0,6169.0,6169,6169,6169.0,6169.0,100,0.0,616.9
F072,ascon,O3,100,19714.0,19714.0,19714,19714,19714.0,19714.0,100,0.0,197.14
